source,sum_sq,df,F,PR(>F)
"C(depression_group, Treatment('Minimal'))",426.0587709987571,2.0,2.7365578297544646,0.06744561185514458
"C(video, Treatment('V1'))",4360.255305704816,4.0,14.002869567247766,5.495830951773356e-10
"C(depression_group, Treatment('Minimal')):C(video, Treatment('V1'))",250.76499596150245,8.0,0.40266329426697683,0.9180324067707715
score_gad,210.25456435660482,1.0,2.7009127073380177,0.10200780112423985
score_stai_t,40.47955733244477,1.0,0.5199970384527989,0.4717631718837745
Residual,14245.77150261945,183.0,,
