,PHQ-9,GAD-7,STAI-T,PA-Pre,NA-Pre,PA-Post,NA-Post
PHQ-9,1.0,0.7102513697868099,0.6129942649669857,-0.22075535727005266,0.26458162721222434,-0.20614175397387466,0.501203646310534
GAD-7,0.7102513697868099,1.0,0.7010512414933397,-0.10079295926038292,0.37282742653888934,-0.18770157693531736,0.6347869911255722
STAI-T,0.6129942649669857,0.7010512414933397,1.0,-0.22212822057156598,0.3343182325367995,-0.39561988908732026,0.5531264268442965
PA-Pre,-0.22075535727005266,-0.10079295926038292,-0.22212822057156598,1.0,0.04784634166266148,0.7243372846441818,-0.04353586043179108
NA-Pre,0.26458162721222434,0.37282742653888934,0.3343182325367995,0.04784634166266148,1.0,0.15070899266484858,0.34496388834667185
PA-Post,-0.20614175397387466,-0.18770157693531736,-0.39561988908732026,0.7243372846441818,0.15070899266484858,1.0,-0.17403129308676826
NA-Post,0.501203646310534,0.6347869911255722,0.5531264268442965,-0.04353586043179108,0.34496388834667185,-0.17403129308676826,1.0
